SKU,Name,Regular price,Description,Categories,Images
laptop-hp-pavilion-15-eg3112tu-8u6l9pa,Laptop HP Pavilion 15-EG3112TU 8U6L9PA,19990000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-pavilion-15-eg3112tu-8u6l9pa.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_63.png"
laptop-dell-15-dc15250-71073959,Laptop Dell 15 DC15250 71073959,20990000,Xem chi tiết: https://cellphones.com.vn/laptop-dell-15-dc15250-71073959.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_45.png"
laptop-acer-aspire-go-15-ag15-51p-3151,Laptop Acer Aspire Go 15 AG15-51P-3151,9290000,Xem chi tiết: https://cellphones.com.vn/laptop-acer-aspire-go-15-ag15-51p-3151.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_22.png"
laptop-lenovo-ideapad-slim-5-14irh10r-83j0006cvn,Laptop Lenovo IdeaPad Slim 5 14IRH10R 83J0006CVN,22890000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14irh10r-83j0006cvn.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_868_1_.png"
apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam,34090000,Xem chi tiết: https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_4__1_3.png"
laptop-lenovo-thinkpad-e14-gen-7-21t90022va,Laptop Lenovo ThinkPad E14 Gen 7 21T90022VA,24490000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-thinkpad-e14-gen-7-21t90022va.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1__1_1.png"
laptop-dell-vostro-3530-2h1tpi7,Laptop Dell Vostro 3530 2H1TPI7,16690000,Xem chi tiết: https://cellphones.com.vn/laptop-dell-vostro-3530-2h1tpi7.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_d_i_10__1_3.png"
apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W | Chính hãng Apple Việt Nam,35490000,Xem chi tiết: https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_2__21_1.png"
macbook-pro-14-inch-m4-24gb-1tb,MacBook Pro 14 M4 10CPU 10GPU 24GB 1TB | Chính hãng Apple Việt Nam,48590000,Xem chi tiết: https://cellphones.com.vn/macbook-pro-14-inch-m4-24gb-1tb.html,Root,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_6__6.png"
laptop-asus-zenbook-a14-ux3407qa-qd299ws-copilot-x-plus,Laptop ASUS Zenbook A14 UX3407QA-QD299WS,26990000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-zenbook-a14-ux3407qa-qd299ws-copilot-x-plus.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_ng_n_14__8_5.png"
laptop-acer-gaming-aspire-7-a715-76-53pj,Laptop Acer Gaming Aspire 7 A715-76-53PJ,13090000,Xem chi tiết: https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-76-53pj.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_509_11__1.png"
laptop-acer-aspire-lite-gen-2-al14-52m-32kv,Laptop Acer Aspire Lite Gen 2 AL14-52M-32KV,9490000,Xem chi tiết: https://cellphones.com.vn/laptop-acer-aspire-lite-gen-2-al14-52m-32kv.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_1__4.png"
laptop-asus-vivobook-s-16-oled-s5606ma-mx051w,Laptop ASUS  VivoBook S 16 OLED S5606MA-MX051W ,23490000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-s-16-oled-s5606ma-mx051w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_565_22_.png"
laptop-dell-15-dc15255-dc5r5802w1,Laptop Dell 15 DC15255 DC5R5802W1,15990000,Xem chi tiết: https://cellphones.com.vn/laptop-dell-15-dc15255-dc5r5802w1.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_58.png"
laptop-asus-vivobook-s14-s3407va-ly053w,Laptop ASUS Vivobook S14 S3407VA-LY053W,18990000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-s14-s3407va-ly053w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_11.png"
macbook-pro-16-inch-m4-max-48gb-1tb,MacBook Pro 16 M4 Max 16CPU 40GPU 48GB 1TB | Chính hãng Apple Việt Nam,99990000,Xem chi tiết: https://cellphones.com.vn/macbook-pro-16-inch-m4-max-48gb-1tb.html,Root,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_3__8.png"
laptop-lenovo-thinkpad-e16-gen-3-21sr002gva,Laptop Lenovo ThinkPad E16 Gen 3 21SR002GVA,23490000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-thinkpad-e16-gen-3-21sr002gva.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_60.png"
laptop-hp-250-g9-ag2k7at,Laptop HP 250 G9 AG2K7AT,13990000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-250-g9-ag2k7at.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//p/h/photo_2025-02-18_11-36-08.jpg"
laptop-hp-14-ep0220tu-b73vwpa,Laptop HP 14-EP0220TU B73VWPA,10490000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-14-ep0220tu-b73vwpa.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_1__5.png"
laptop-asus-vivobook-15-x1502va-bq885w,Laptop ASUS Vivobook 15 X1502VA-BQ885W,14690000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-15-x1502va-bq885w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_42.png"
laptop-hp-envy-x360-14-fa0096au-ay8u6pa,Laptop HP Envy X360 14-FA0096AU AY8U6PA,25890000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-envy-x360-14-fa0096au-ay8u6pa.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_37.png"
laptop-acer-aspire-lite-15-al15-41p-r3u5,Laptop Acer Aspire Lite 15 AL15-41P-R3U5 NX.J53SV.001,12290000,Xem chi tiết: https://cellphones.com.vn/laptop-acer-aspire-lite-15-al15-41p-r3u5.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_1__21.png"
laptop-lenovo-v14-g4-iru-83a000fnvn,Laptop Lenovo V14 G4 IRU 83A000FNVN,13490000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-v14-g4-iru-83a000fnvn.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_1__1.png"
apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025-sac-70w,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB Sạc 70W | Chính hãng Apple Việt Nam,30390000,Xem chi tiết: https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025-sac-70w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_3__15_2.png"
laptop-hp-15-fd0306tu-a2nl7pa,Laptop HP 15-FD0306TU A2NL7PA,9990000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-15-fd0306tu-a2nl7pa.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_43.png"
apple-macbook-air-15-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w,MacBook Air M4 15 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W | Chính hãng Apple Việt Nam,39590000,Xem chi tiết: https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_5__8_1.png"
laptop-asus-zenbook-14-ux3405ca-pz188ws,Laptop ASUS Zenbook 14 UX3405CA-PZ188WS,31990000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-zenbook-14-ux3405ca-pz188ws.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_ng_n_15_82.png"
macbook-pro-14-inch-m4-16gb-1tb,MacBook Pro 14 M4 10CPU 10GPU 16GB 1TB | Chính hãng Apple Việt Nam,44090000,Xem chi tiết: https://cellphones.com.vn/macbook-pro-14-inch-m4-16gb-1tb.html,Root,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_5__5.png"
laptop-asus-vivobook-go-15-e1504fa-nj454w,Laptop ASUS Vivobook GO 15 E1504FA-NJ454W,11990000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-go-15-e1504fa-nj454w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_d_i_3_5.png"
